dataset_name,record_id,subject_id,session_id,session_name,signal_channel,file_name,file_type,sample_rate_hz,sample_count,window_count,record_missing_value_ratio,record_flatline_ratio,avg_window_coverage_ratio,avg_window_std,low_coverage_window_count,flatline_window_count,high_motion_window_count,higher_relative_variability_window_count,record_signal_quality_score,has_non_monotonic_timestamps,has_duplicate_timestamps
wearable_exam_stress,1,S1,1,midterm_1,acc_x,ACC.csv,acc,32.0,357702,187,0.0037266042780748666,0.45622259001503224,0.9962733957219251,8.31357587918488,1,33,0,33,0.5397320752922085,False,False
wearable_exam_stress,2,S1,1,midterm_1,acc_y,ACC.csv,acc,32.0,357702,187,0.0037266042780748666,0.5396238818715163,0.9962733957219251,8.17313382320323,1,40,0,26,0.45695123241571667,False,False
wearable_exam_stress,3,S1,1,midterm_1,acc_z,ACC.csv,acc,32.0,357702,187,0.0037266042780748666,0.46420842773811277,0.9962733957219251,13.605113170481495,1,11,0,55,0.5318056467792178,False,False
wearable_exam_stress,4,S1,1,midterm_1,acc_magnitude,ACC.csv,acc,32.0,357702,187,0.0037266042780748666,0.28360393309544046,0.9962733957219251,4.343829932696284,1,4,41,41,0.7110665666164078,False,False
wearable_exam_stress,5,S1,1,midterm_1,bvp,BVP.csv,bvp,64.0,715407,187,0.003722426470588235,0.01559142058511952,0.9962775735294118,3.4697958655137047,1,0,0,0,0.9770934427240558,False,False
wearable_exam_stress,6,S1,1,midterm_1,eda,EDA.csv,eda,4.0,44712,187,0.0037433155080213902,0.27888603407976104,0.9962566844919787,0.03403690879607884,1,0,0,41,0.715725356282142,False,False
wearable_exam_stress,7,S1,1,midterm_1,hr,HR.csv,hr,1.0,11169,187,0.004545454545454545,0.021752923049034714,0.9954545454545455,4.544799192341667,1,0,0,47,0.9693741334224225,False,False
wearable_exam_stress,8,S1,1,midterm_1,temp,TEMP.csv,temp,4.0,44712,187,0.0037433155080213902,0.8541234204051867,0.9962566844919787,0.026461581517190195,1,0,0,19,0.144786499552092,False,False
wearable_exam_stress,9,S1,2,midterm_2,acc_x,ACC.csv,acc,32.0,356376,186,0.0020833333333333333,0.49581776903984515,0.9979166666666667,11.058119136155854,1,27,0,50,0.5020836599554206,False,False
wearable_exam_stress,10,S1,2,midterm_2,acc_y,ACC.csv,acc,32.0,356376,186,0.0020833333333333333,0.5629795746254537,0.9979166666666667,9.81237958949345,1,34,0,44,0.4352014037255264,False,False
wearable_exam_stress,11,S1,2,midterm_2,acc_z,ACC.csv,acc,32.0,356376,186,0.0020833333333333333,0.507136535999444,0.9979166666666667,13.688401310757003,1,29,0,61,0.49081200539822734,False,False
wearable_exam_stress,12,S1,2,midterm_2,acc_magnitude,ACC.csv,acc,32.0,356376,186,0.0020833333333333333,0.3293975225648129,0.9979166666666667,4.633243138602451,1,17,39,39,0.6678112110469043,False,False
wearable_exam_stress,13,S1,2,midterm_2,bvp,BVP.csv,bvp,64.0,712745,186,0.0020931339605734767,0.0026259952175584733,0.9979068660394266,39.89139631927621,1,0,0,62,0.993203099685576,False,False
wearable_exam_stress,14,S1,2,midterm_2,eda,EDA.csv,eda,4.0,44544,186,0.002150537634408602,0.34748200465571233,0.9978494623655914,0.004848140502817424,1,0,0,3,0.6497144841051856,False,False
wearable_exam_stress,15,S1,2,midterm_2,hr,HR.csv,hr,1.0,11127,186,0.0029569892473118283,0.025059230909422272,0.9970430107526881,4.976957319948507,1,0,0,56,0.9691835150215152,False,False
wearable_exam_stress,16,S1,2,midterm_2,temp,TEMP.csv,temp,4.0,44544,186,0.002150537634408602,0.8496764629171161,0.9978494623655914,0.10623622895915145,1,0,0,42,0.14967767945333138,False,False
wearable_exam_stress,17,S2,1,midterm_1,acc_x,ACC.csv,acc,32.0,383496,200,0.0013125,0.6124315612703171,0.9986875000000001,7.55797633434885,1,47,0,30,0.3865517392252108,False,False
wearable_exam_stress,18,S2,1,midterm_1,acc_y,ACC.csv,acc,32.0,383496,200,0.0013125,0.670497465368631,0.9986875000000001,5.792935437948103,1,29,0,19,0.32863815809756236,False,False
wearable_exam_stress,19,S2,1,midterm_1,acc_z,ACC.csv,acc,32.0,383496,200,0.0013125,0.6035866276789479,0.9986875000000001,6.251375633612735,1,14,0,12,0.39537347010268276,False,False
wearable_exam_stress,20,S2,1,midterm_1,acc_magnitude,ACC.csv,acc,32.0,383496,200,0.0013125,0.3812091950128619,0.9986875000000001,3.6041904771411803,1,1,42,42,0.6171675450878945,False,False
wearable_exam_stress,21,S2,1,midterm_1,bvp,BVP.csv,bvp,64.0,766997,200,0.0013059895833333333,0.01568380396281795,0.9986940104166666,9.22938992698206,1,0,0,0,0.9817468614980781,False,False
wearable_exam_stress,22,S2,1,midterm_1,eda,EDA.csv,eda,4.0,47934,200,0.0013750000000000001,0.26708890608750335,0.998625,0.023948284472882993,1,0,0,32,0.7308969740642742,False,False
wearable_exam_stress,23,S2,1,midterm_1,hr,HR.csv,hr,1.0,11975,200,0.0020833333333333333,0.019661016949152545,0.9979166666666667,5.175971941992852,1,0,0,66,0.9762584922316384,False,False
wearable_exam_stress,24,S2,1,midterm_1,temp,TEMP.csv,temp,4.0,47936,200,0.0013333333333333333,0.8623819485953378,0.9986666666666666,0.04015248329751182,1,0,0,60,0.13725131458856338,False,False
wearable_exam_stress,25,S2,2,midterm_2,acc_x,ACC.csv,acc,32.0,444318,232,0.0025188577586206895,0.6064646066664747,0.9974811422413793,7.383750257405583,1,21,0,36,0.391555370818078,False,False
wearable_exam_stress,26,S2,2,midterm_2,acc_y,ACC.csv,acc,32.0,444318,232,0.0025188577586206895,0.613701323923492,0.9974811422413793,7.096907364938932,1,13,0,28,0.3843550641694827,False,False
wearable_exam_stress,27,S2,2,midterm_2,acc_z,ACC.csv,acc,32.0,444318,232,0.0025188577586206895,0.6324473782398176,0.9974811422413793,7.167845340879072,1,25,0,21,0.36570332820482476,False,False
wearable_exam_stress,28,S2,2,midterm_2,acc_magnitude,ACC.csv,acc,32.0,444318,232,0.0025188577586206895,0.3623173064334194,0.9974811422413793,4.057471517572929,1,0,58,58,0.6344742754360598,False,False
wearable_exam_stress,29,S2,2,midterm_2,bvp,BVP.csv,bvp,64.0,888635,232,0.0025199802442528734,0.0020567708518643363,0.9974800197557472,38.275762809913665,1,0,0,94,0.9929199719427758,False,False
wearable_exam_stress,30,S2,2,midterm_2,eda,EDA.csv,eda,4.0,55536,232,0.002586206896551724,0.30499870907972576,0.9974137931034484,0.018081707604267274,1,0,0,35,0.6914111051494756,False,False
wearable_exam_stress,31,S2,2,midterm_2,hr,HR.csv,hr,1.0,13875,232,0.003232758620689655,0.13180992736077482,0.9967672413793104,3.8679705164943887,1,0,0,42,0.8625858479743436,False,False
wearable_exam_stress,32,S2,2,midterm_2,temp,TEMP.csv,temp,4.0,55536,232,0.002586206896551724,0.8534239761863178,0.9974137931034484,0.09274858265102642,1,0,0,50,0.1458188523351381,False,False
wearable_exam_stress,33,S3,1,midterm_1,acc_x,ACC.csv,acc,32.0,390816,204,0.0022058823529411764,0.42288300653756183,0.9977941176470588,12.83408718853496,1,18,0,83,0.5745736972828792,False,False
wearable_exam_stress,34,S3,1,midterm_1,acc_y,ACC.csv,acc,32.0,390816,204,0.0022058823529411764,0.5775060835504119,0.9977941176470588,11.708735599417185,1,37,0,79,0.4206320285208573,False,False
wearable_exam_stress,35,S3,1,midterm_1,acc_z,ACC.csv,acc,32.0,390816,204,0.0022058823529411764,0.5147771111388426,0.9977941176470588,14.059739271103723,1,16,0,75,0.4830845606998753,False,False
wearable_exam_stress,36,S3,1,midterm_1,acc_magnitude,ACC.csv,acc,32.0,390816,204,0.0022058823529411764,0.2783361223889618,0.9977941176470588,4.999828736050079,1,1,67,67,0.7184835779427816,False,False
wearable_exam_stress,37,S3,1,midterm_1,bvp,BVP.csv,bvp,64.0,781627,204,0.002212265114379085,0.014821066336132725,0.9977877348856209,8.704828211420164,1,0,0,1,0.9808248012720403,False,False
wearable_exam_stress,38,S3,1,midterm_1,eda,EDA.csv,eda,4.0,48852,204,0.0022058823529411764,0.33988316333272584,0.9977941176470588,0.029842150140700803,1,0,0,38,0.6572077685792146,False,False
wearable_exam_stress,39,S3,1,midterm_1,hr,HR.csv,hr,1.0,12203,204,0.003022875816993464,0.021329949545303484,0.9969771241830065,4.611615818518844,1,0,0,45,0.9727621972678829,False,False
wearable_exam_stress,40,S3,1,midterm_1,temp,TEMP.csv,temp,4.0,48848,204,0.0022875816993464053,0.8648216444024979,0.9977124183006536,0.029297605678187406,1,0,0,24,0.13456059992507136,False,False
wearable_exam_stress,41,S3,2,midterm_2,acc_x,ACC.csv,acc,32.0,327840,171,0.0014619883040935672,0.39764167454304217,0.9985380116959064,13.821388991610497,1,10,0,73,0.6005983312901635,False,False
wearable_exam_stress,42,S3,2,midterm_2,acc_y,ACC.csv,acc,32.0,327840,171,0.0014619883040935672,0.43879777820297317,0.9985380116959064,15.083478897670995,1,2,0,78,0.559562479147159,False,False
wearable_exam_stress,43,S3,2,midterm_2,acc_z,ACC.csv,acc,32.0,327840,171,0.0014619883040935672,0.3954191253028117,0.9985380116959064,19.953703487371953,1,4,0,81,0.6028143865989036,False,False
